"Step","GAT_features-16_layers-2_lr-0.0001 - test_accuracy","GAT_features-16_layers-2_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-2_lr-0.001 - test_accuracy","GAT_features-16_layers-2_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-2_lr-0.01 - test_accuracy","GAT_features-16_layers-2_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.01 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.0001 - test_accuracy","GAT_features-16_layers-1_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.001 - test_accuracy","GAT_features-16_layers-1_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.01 - test_accuracy","GAT_features-16_layers-1_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.01 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.0001 - test_accuracy","GAT_features-16_layers-0_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.001 - test_accuracy","GAT_features-16_layers-0_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.01 - test_accuracy","GAT_features-16_layers-0_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.01 - test_accuracy__MAX","GAT_features-8_layers-2_lr-0.0001 - test_accuracy","GAT_features-8_layers-2_lr-0.0001 - test_accuracy__MIN","GAT_features-8_layers-2_lr-0.0001 - test_accuracy__MAX","GAT_features-8_layers-2_lr-0.001 - test_accuracy","GAT_features-8_layers-2_lr-0.001 - test_accuracy__MIN","GAT_features-8_layers-2_lr-0.001 - test_accuracy__MAX","GAT_features-8_layers-2_lr-0.01 - test_accuracy","GAT_features-8_layers-2_lr-0.01 - test_accuracy__MIN","GAT_features-8_layers-2_lr-0.01 - test_accuracy__MAX","GAT_features-8_layers-1_lr-0.0001 - test_accuracy","GAT_features-8_layers-1_lr-0.0001 - test_accuracy__MIN","GAT_features-8_layers-1_lr-0.0001 - test_accuracy__MAX","GAT_features-8_layers-1_lr-0.001 - test_accuracy","GAT_features-8_layers-1_lr-0.001 - test_accuracy__MIN","GAT_features-8_layers-1_lr-0.001 - test_accuracy__MAX","GAT_features-8_layers-1_lr-0.01 - test_accuracy","GAT_features-8_layers-1_lr-0.01 - test_accuracy__MIN","GAT_features-8_layers-1_lr-0.01 - test_accuracy__MAX","GAT_features-8_layers-0_lr-0.0001 - test_accuracy","GAT_features-8_layers-0_lr-0.0001 - test_accuracy__MIN","GAT_features-8_layers-0_lr-0.0001 - test_accuracy__MAX","GAT_features-8_layers-0_lr-0.001 - test_accuracy","GAT_features-8_layers-0_lr-0.001 - test_accuracy__MIN","GAT_features-8_layers-0_lr-0.001 - test_accuracy__MAX","GAT_features-8_layers-0_lr-0.01 - test_accuracy","GAT_features-8_layers-0_lr-0.01 - test_accuracy__MIN","GAT_features-8_layers-0_lr-0.01 - test_accuracy__MAX","GAT_features-4_layers-2_lr-0.0001 - test_accuracy","GAT_features-4_layers-2_lr-0.0001 - test_accuracy__MIN","GAT_features-4_layers-2_lr-0.0001 - test_accuracy__MAX","GAT_features-4_layers-2_lr-0.001 - test_accuracy","GAT_features-4_layers-2_lr-0.001 - test_accuracy__MIN","GAT_features-4_layers-2_lr-0.001 - test_accuracy__MAX","GAT_features-4_layers-2_lr-0.01 - test_accuracy","GAT_features-4_layers-2_lr-0.01 - test_accuracy__MIN","GAT_features-4_layers-2_lr-0.01 - test_accuracy__MAX","GAT_features-4_layers-1_lr-0.0001 - test_accuracy","GAT_features-4_layers-1_lr-0.0001 - test_accuracy__MIN","GAT_features-4_layers-1_lr-0.0001 - test_accuracy__MAX","GAT_features-4_layers-1_lr-0.001 - test_accuracy","GAT_features-4_layers-1_lr-0.001 - test_accuracy__MIN","GAT_features-4_layers-1_lr-0.001 - test_accuracy__MAX","GAT_features-4_layers-1_lr-0.01 - test_accuracy","GAT_features-4_layers-1_lr-0.01 - test_accuracy__MIN","GAT_features-4_layers-1_lr-0.01 - test_accuracy__MAX","GAT_features-4_layers-0_lr-0.0001 - test_accuracy","GAT_features-4_layers-0_lr-0.0001 - test_accuracy__MIN","GAT_features-4_layers-0_lr-0.0001 - test_accuracy__MAX","GAT_features-4_layers-0_lr-0.001 - test_accuracy","GAT_features-4_layers-0_lr-0.001 - test_accuracy__MIN","GAT_features-4_layers-0_lr-0.001 - test_accuracy__MAX","GAT_features-4_layers-0_lr-0.01 - test_accuracy","GAT_features-4_layers-0_lr-0.01 - test_accuracy__MIN","GAT_features-4_layers-0_lr-0.01 - test_accuracy__MAX"
"0","0.21899999678134918","0.21899999678134918","0.21899999678134918","0.3199999928474426","0.3199999928474426","0.3199999928474426","0.40799999237060547","0.40799999237060547","0.40799999237060547","0.5929999947547913","0.5929999947547913","0.5929999947547913","0.46799999475479126","0.46799999475479126","0.46799999475479126","0.42100000381469727","0.42100000381469727","0.42100000381469727","0.5989999771118164","0.5989999771118164","0.5989999771118164","0.5580000281333923","0.5580000281333923","0.5580000281333923","0.3089999854564667","0.3089999854564667","0.3089999854564667","0.4189999997615814","0.4189999997615814","0.4189999997615814","0.3409999907016754","0.3409999907016754","0.3409999907016754","0.2720000147819519","0.2720000147819519","0.2720000147819519","0.3569999933242798","0.3569999933242798","0.3569999933242798","0.40299999713897705","0.40299999713897705","0.40299999713897705","0.4090000092983246","0.4090000092983246","0.4090000092983246","0.5619999766349792","0.5619999766349792","0.5619999766349792","0.4480000436306","0.4480000436306","0.4480000436306","0.35100001096725464","0.35100001096725464","0.35100001096725464","0.38599997758865356","0.38599997758865356","0.38599997758865356","0.22599999606609344","0.22599999606609344","0.22599999606609344","0.21299999952316284","0.21299999952316284","0.21299999952316284","0.19700001180171967","0.19700001180171967","0.19700001180171967","0.3269999921321869","0.3269999921321869","0.3269999921321869","0.37400001287460327","0.37400001287460327","0.37400001287460327","0.47999998927116394","0.47999998927116394","0.47999998927116394","0.42399999499320984","0.42399999499320984","0.42399999499320984","0.4269999563694","0.4269999563694","0.4269999563694"
"1","0.6600000262260437","0.6600000262260437","0.6600000262260437","0.6510000228881836","0.6510000228881836","0.6510000228881836","0.6470000147819519","0.6470000147819519","0.6470000147819519","0.597000002861023","0.597000002861023","0.597000002861023","0.5559999942779541","0.5559999942779541","0.5559999942779541","0.6069999933242798","0.6069999933242798","0.6069999933242798","0.7170000076293945","0.7170000076293945","0.7170000076293945","0.6949999928474426","0.6949999928474426","0.6949999928474426","0.7379999756813049","0.7379999756813049","0.7379999756813049","0.4830000102519989","0.4830000102519989","0.4830000102519989","0.45899996161460876","0.45899996161460876","0.45899996161460876","0.32499998807907104","0.32499998807907104","0.32499998807907104","0.6240000128746033","0.6240000128746033","0.6240000128746033","0.43799999356269836","0.43799999356269836","0.43799999356269836","0.6129999756813049","0.6129999756813049","0.6129999756813049","0.6980000138282776","0.6980000138282776","0.6980000138282776","0.6499999761581421","0.6499999761581421","0.6499999761581421","0.5519999861717224","0.5519999861717224","0.5519999861717224","0.47999998927116394","0.47999998927116394","0.47999998927116394","0.2329999953508377","0.2329999953508377","0.2329999953508377","0.33799999952316284","0.33799999952316284","0.33799999952316284","0.5099999904632568","0.5099999904632568","0.5099999904632568","0.3700000047683716","0.3700000047683716","0.3700000047683716","0.47999998927116394","0.47999998927116394","0.47999998927116394","0.6790000200271606","0.6790000200271606","0.6790000200271606","0.49799999594688416","0.49799999594688416","0.49799999594688416","0.5550000071525574","0.5550000071525574","0.5550000071525574"
"2","0.42899999022483826","0.42899999022483826","0.42899999022483826","0.734000027179718","0.734000027179718","0.734000027179718","0.6899999976158142","0.6899999976158142","0.6899999976158142","0.7260000109672546","0.7260000109672546","0.7260000109672546","0.7540000081062317","0.7540000081062317","0.7540000081062317","0.796000063419342","0.796000063419342","0.796000063419342","0.7390000224113464","0.7390000224113464","0.7390000224113464","0.6949999928474426","0.6949999928474426","0.6949999928474426","0.7689999938011169","0.7689999938011169","0.7689999938011169","0.5199999809265137","0.5199999809265137","0.5199999809265137","0.6679999828338623","0.6679999828338623","0.6679999828338623","0.7080000042915344","0.7080000042915344","0.7080000042915344","0.49799999594688416","0.49799999594688416","0.49799999594688416","0.4740000069141388","0.4740000069141388","0.4740000069141388","0.7429999709129333","0.7429999709129333","0.7429999709129333","0.746999979019165","0.746999979019165","0.746999979019165","0.703000009059906","0.703000009059906","0.703000009059906","0.6690000295639038","0.6690000295639038","0.6690000295639038","0.37299999594688416","0.37299999594688416","0.37299999594688416","0.3050000071525574","0.3050000071525574","0.3050000071525574","0.328000009059906","0.328000009059906","0.328000009059906","0.4779999852180481","0.4779999852180481","0.4779999852180481","0.5860000252723694","0.5860000252723694","0.5860000252723694","0.6439999938011169","0.6439999938011169","0.6439999938011169","0.7170000076293945","0.7170000076293945","0.7170000076293945","0.5910000205039978","0.5910000205039978","0.5910000205039978","0.6600000262260437","0.6600000262260437","0.6600000262260437"
"3","0.7070000171661377","0.7070000171661377","0.7070000171661377","0.6790000200271606","0.6790000200271606","0.6790000200271606","0.7580000162124634","0.7580000162124634","0.7580000162124634","0.8100000023841858","0.8100000023841858","0.8100000023841858","0.6399999856948853","0.6399999856948853","0.6399999856948853","0.7020000219345093","0.7020000219345093","0.7020000219345093","0.7400000095367432","0.7400000095367432","0.7400000095367432","0.7739999890327454","0.7739999890327454","0.7739999890327454","0.765999972820282","0.765999972820282","0.765999972820282","0.6129999756813049","0.6129999756813049","0.6129999756813049","0.6119999885559082","0.6119999885559082","0.6119999885559082","0.42399999499320984","0.42399999499320984","0.42399999499320984","0.6759999990463257","0.6759999990463257","0.6759999990463257","0.6190000176429749","0.6190000176429749","0.6190000176429749","0.6600000262260437","0.6600000262260437","0.6600000262260437","0.6850000023841858","0.6850000023841858","0.6850000023841858","0.7300000190734863","0.7300000190734863","0.7300000190734863","0.6710000038146973","0.6710000038146973","0.6710000038146973","0.4390000104904175","0.4390000104904175","0.4390000104904175","0.3140000104904175","0.3140000104904175","0.3140000104904175","0.6290000081062317","0.6290000081062317","0.6290000081062317","0.6819999814033508","0.6819999814033508","0.6819999814033508","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.7070000171661377","0.7070000171661377","0.7070000171661377","0.7429999709129333","0.7429999709129333","0.7429999709129333","0.6880000233650208","0.6880000233650208","0.6880000233650208","0.6909999847412109","0.6909999847412109","0.6909999847412109"
"4","0.5270000100135803","0.5270000100135803","0.5270000100135803","0.7590000033378601","0.7590000033378601","0.7590000033378601","0.6819999814033508","0.6819999814033508","0.6819999814033508","0.7559999823570251","0.7559999823570251","0.7559999823570251","0.7689999938011169","0.7689999938011169","0.7689999938011169","0.765999972820282","0.765999972820282","0.765999972820282","0.7210000157356262","0.7210000157356262","0.7210000157356262","0.7649999260902405","0.7649999260902405","0.7649999260902405","0.8119999766349792","0.8119999766349792","0.8119999766349792","0.6790000200271606","0.6790000200271606","0.6790000200271606","0.6800000071525574","0.6800000071525574","0.6800000071525574","0.753000020980835","0.753000020980835","0.753000020980835","0.6859999895095825","0.6859999895095825","0.6859999895095825","0.6940000057220459","0.6940000057220459","0.6940000057220459","0.7269999980926514","0.7269999980926514","0.7269999980926514","0.6959999799728394","0.6959999799728394","0.6959999799728394","0.7900000214576721","0.7900000214576721","0.7900000214576721","0.7020000219345093","0.7020000219345093","0.7020000219345093","0.6349999904632568","0.6349999904632568","0.6349999904632568","0.7059999704360962","0.7059999704360962","0.7059999704360962","0.6970000267028809","0.6970000267028809","0.6970000267028809","0.6970000267028809","0.6970000267028809","0.6970000267028809","0.6840000152587891","0.6840000152587891","0.6840000152587891","0.7200000286102295","0.7200000286102295","0.7200000286102295","0.7480000257492065","0.7480000257492065","0.7480000257492065","0.6959999799728394","0.6959999799728394","0.6959999799728394","0.734000027179718","0.734000027179718","0.734000027179718"
"5","0.7880000472068787","0.7880000472068787","0.7880000472068787","0.7640000581741333","0.7640000581741333","0.7640000581741333","0.6819999814033508","0.6819999814033508","0.6819999814033508","0.7820000052452087","0.7820000052452087","0.7820000052452087","0.7609999179840088","0.7609999179840088","0.7609999179840088","0.75","0.75","0.75","0.7400000095367432","0.7400000095367432","0.7400000095367432","0.7850000262260437","0.7850000262260437","0.7850000262260437","0.7940000295639038","0.7940000295639038","0.7940000295639038","0.7089999914169312","0.7089999914169312","0.7089999914169312","0.652999997138977","0.652999997138977","0.652999997138977","0.6169999837875366","0.6169999837875366","0.6169999837875366","0.7390000224113464","0.7390000224113464","0.7390000224113464","0.7600000500679016","0.7600000500679016","0.7600000500679016","0.7319999933242798","0.7319999933242798","0.7319999933242798","0.7120000123977661","0.7120000123977661","0.7120000123977661","0.7450000047683716","0.7450000047683716","0.7450000047683716","0.734000027179718","0.734000027179718","0.734000027179718","0.6179999709129333","0.6179999709129333","0.6179999709129333","0.718999981880188","0.718999981880188","0.718999981880188","0.6830000281333923","0.6830000281333923","0.6830000281333923","0.6399999856948853","0.6399999856948853","0.6399999856948853","0.7319999933242798","0.7319999933242798","0.7319999933242798","0.722000002861023","0.722000002861023","0.722000002861023","0.7749999761581421","0.7749999761581421","0.7749999761581421","0.7360000014305115","0.7360000014305115","0.7360000014305115","0.7770000100135803","0.7770000100135803","0.7770000100135803"
"6","0.6259999871253967","0.6259999871253967","0.6259999871253967","0.7920000553131104","0.7920000553131104","0.7920000553131104","0.7409999966621399","0.7409999966621399","0.7409999966621399","0.6949999928474426","0.6949999928474426","0.6949999928474426","0.7440000176429749","0.7440000176429749","0.7440000176429749","0.8130000233650208","0.8130000233650208","0.8130000233650208","0.7940000295639038","0.7940000295639038","0.7940000295639038","0.75","0.75","0.75","0.7940000295639038","0.7940000295639038","0.7940000295639038","0.718999981880188","0.718999981880188","0.718999981880188","0.640999972820282","0.640999972820282","0.640999972820282","0.7049999833106995","0.7049999833106995","0.7049999833106995","0.7719999551773071","0.7719999551773071","0.7719999551773071","0.7570000290870667","0.7570000290870667","0.7570000290870667","0.7670000195503235","0.7670000195503235","0.7670000195503235","0.7369999885559082","0.7369999885559082","0.7369999885559082","0.7580000162124634","0.7580000162124634","0.7580000162124634","0.7429999709129333","0.7429999709129333","0.7429999709129333","0.7250000238418579","0.7250000238418579","0.7250000238418579","0.5550000071525574","0.5550000071525574","0.5550000071525574","0.6779999732971191","0.6779999732971191","0.6779999732971191","0.703000009059906","0.703000009059906","0.703000009059906","0.7630000114440918","0.7630000114440918","0.7630000114440918","0.7269999980926514","0.7269999980926514","0.7269999980926514","0.777999997138977","0.777999997138977","0.777999997138977","0.765999972820282","0.765999972820282","0.765999972820282","0.7860000133514404","0.7860000133514404","0.7860000133514404"
"7","0.5899999737739563","0.5899999737739563","0.5899999737739563","0.7759999632835388","0.7759999632835388","0.7759999632835388","0.7239999771118164","0.7239999771118164","0.7239999771118164","0.7969999313354492","0.7969999313354492","0.7969999313354492","0.781000018119812","0.781000018119812","0.781000018119812","0.7829999923706055","0.7829999923706055","0.7829999923706055","0.7850000262260437","0.7850000262260437","0.7850000262260437","0.7770000100135803","0.7770000100135803","0.7770000100135803","0.7969999313354492","0.7969999313354492","0.7969999313354492","0.75","0.75","0.75","0.6660000085830688","0.6660000085830688","0.6660000085830688","0.7390000224113464","0.7390000224113464","0.7390000224113464","0.7749999761581421","0.7749999761581421","0.7749999761581421","0.746999979019165","0.746999979019165","0.746999979019165","0.7940000295639038","0.7940000295639038","0.7940000295639038","0.75","0.75","0.75","0.8130000233650208","0.8130000233650208","0.8130000233650208","0.75","0.75","0.75","0.6340000033378601","0.6340000033378601","0.6340000033378601","0.718999981880188","0.718999981880188","0.718999981880188","0.6909999847412109","0.6909999847412109","0.6909999847412109","0.6949999928474426","0.6949999928474426","0.6949999928474426","0.8069999814033508","0.8069999814033508","0.8069999814033508","0.7260000109672546","0.7260000109672546","0.7260000109672546","0.7920000553131104","0.7920000553131104","0.7920000553131104","0.7689999938011169","0.7689999938011169","0.7689999938011169","0.7649999260902405","0.7649999260902405","0.7649999260902405"
"8","0.7360000014305115","0.7360000014305115","0.7360000014305115","0.8100000023841858","0.8100000023841858","0.8100000023841858","0.7229999899864197","0.7229999899864197","0.7229999899864197","0.734000027179718","0.734000027179718","0.734000027179718","0.7900000214576721","0.7900000214576721","0.7900000214576721","0.7689999938011169","0.7689999938011169","0.7689999938011169","0.7600000500679016","0.7600000500679016","0.7600000500679016","0.7310000061988831","0.7310000061988831","0.7310000061988831","0.7889999151229858","0.7889999151229858","0.7889999151229858","0.7450000047683716","0.7450000047683716","0.7450000047683716","0.6579999923706055","0.6579999923706055","0.6579999923706055","0.7419999837875366","0.7419999837875366","0.7419999837875366","0.7889999151229858","0.7889999151229858","0.7889999151229858","0.7329999804496765","0.7329999804496765","0.7329999804496765","0.7770000100135803","0.7770000100135803","0.7770000100135803","0.7540000081062317","0.7540000081062317","0.7540000081062317","0.796000063419342","0.796000063419342","0.796000063419342","0.7440000176429749","0.7440000176429749","0.7440000176429749","0.7070000171661377","0.7070000171661377","0.7070000171661377","0.5989999771118164","0.5989999771118164","0.5989999771118164","0.753000020980835","0.753000020980835","0.753000020980835","0.7699999809265137","0.7699999809265137","0.7699999809265137","0.753000020980835","0.753000020980835","0.753000020980835","0.7459999918937683","0.7459999918937683","0.7459999918937683","0.7900000214576721","0.7900000214576721","0.7900000214576721","0.7920000553131104","0.7920000553131104","0.7920000553131104","0.7730000019073486","0.7730000019073486","0.7730000019073486"
"9","0.7630000114440918","0.7630000114440918","0.7630000114440918","0.8109999895095825","0.8109999895095825","0.8109999895095825","0.6949999928474426","0.6949999928474426","0.6949999928474426","0.8299999833106995","0.8299999833106995","0.8299999833106995","0.7630000114440918","0.7630000114440918","0.7630000114440918","0.7850000262260437","0.7850000262260437","0.7850000262260437","0.7630000114440918","0.7630000114440918","0.7630000114440918","0.7580000162124634","0.7580000162124634","0.7580000162124634","0.8019999861717224","0.8019999861717224","0.8019999861717224","0.7360000014305115","0.7360000014305115","0.7360000014305115","0.7759999632835388","0.7759999632835388","0.7759999632835388","0.7689999938011169","0.7689999938011169","0.7689999938011169","0.8019999861717224","0.8019999861717224","0.8019999861717224","0.7300000190734863","0.7300000190734863","0.7300000190734863","0.7789999842643738","0.7789999842643738","0.7789999842643738","0.7540000081062317","0.7540000081062317","0.7540000081062317","0.7719999551773071","0.7719999551773071","0.7719999551773071","0.734000027179718","0.734000027179718","0.734000027179718","0.7350000143051147","0.7350000143051147","0.7350000143051147","0.7640000581741333","0.7640000581741333","0.7640000581741333","0.7210000157356262","0.7210000157356262","0.7210000157356262","0.7139999866485596","0.7139999866485596","0.7139999866485596","0.75","0.75","0.75","0.7549999952316284","0.7549999952316284","0.7549999952316284","0.7900000214576721","0.7900000214576721","0.7900000214576721","0.7749999761581421","0.7749999761581421","0.7749999761581421","0.777999997138977","0.777999997138977","0.777999997138977"
