"Step","GCN_features-16_layers-2_lr-0.0001 - test_accuracy","GCN_features-16_layers-2_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-2_lr-0.001 - test_accuracy","GCN_features-16_layers-2_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-2_lr-0.01 - test_accuracy","GCN_features-16_layers-2_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.01 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.0001 - test_accuracy","GCN_features-16_layers-1_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.001 - test_accuracy","GCN_features-16_layers-1_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.01 - test_accuracy","GCN_features-16_layers-1_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.01 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.0001 - test_accuracy","GCN_features-16_layers-0_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.001 - test_accuracy","GCN_features-16_layers-0_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.01 - test_accuracy","GCN_features-16_layers-0_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.01 - test_accuracy__MAX","GCN_features-8_layers-2_lr-0.0001 - test_accuracy","GCN_features-8_layers-2_lr-0.0001 - test_accuracy__MIN","GCN_features-8_layers-2_lr-0.0001 - test_accuracy__MAX"
"0","0.21400000154972076","0.21400000154972076","0.21400000154972076","0.29600000381469727","0.29600000381469727","0.29600000381469727","0.07699999213218689","0.07699999213218689","0.07699999213218689","0.1889999955892563","0.1889999955892563","0.1889999955892563","0.17100000381469727","0.17100000381469727","0.17100000381469727","0.3179999887943268","0.3179999887943268","0.3179999887943268","0.28600001335144043","0.28600001335144043","0.28600001335144043","0.1770000010728836","0.1770000010728836","0.1770000010728836","0.1589999943971634","0.1589999943971634","0.1589999943971634","0.09000000357627869","0.09000000357627869","0.09000000357627869"
"1","0.3110000193119049","0.3110000193119049","0.3110000193119049","0.31200000643730164","0.31200000643730164","0.31200000643730164","0.07699999213218689","0.07699999213218689","0.07699999213218689","0.22200000286102295","0.22200000286102295","0.22200000286102295","0.1720000058412552","0.1720000058412552","0.1720000058412552","0.35499998927116394","0.35499998927116394","0.35499998927116394","0.3059999942779541","0.3059999942779541","0.3059999942779541","0.32199999690055847","0.32199999690055847","0.32199999690055847","0.17400000989437103","0.17400000989437103","0.17400000989437103","0.257999986410141","0.257999986410141","0.257999986410141"
"2","0.3319999873638153","0.3319999873638153","0.3319999873638153","0.29600000381469727","0.29600000381469727","0.29600000381469727","0.07800000160932541","0.07800000160932541","0.07800000160932541","0.2529999911785126","0.2529999911785126","0.2529999911785126","0.24699999392032623","0.24699999392032623","0.24699999392032623","0.42899999022483826","0.42899999022483826","0.42899999022483826","0.3100000023841858","0.3100000023841858","0.3100000023841858","0.414000004529953","0.414000004529953","0.414000004529953","0.1770000010728836","0.1770000010728836","0.1770000010728836","0.1159999892115593","0.1159999892115593","0.1159999892115593"
"3","0.3269999921321869","0.3269999921321869","0.3269999921321869","0.3100000023841858","0.3100000023841858","0.3100000023841858","0.11999999731779099","0.11999999731779099","0.11999999731779099","0.257999986410141","0.257999986410141","0.257999986410141","0.1850000023841858","0.1850000023841858","0.1850000023841858","0.3779999911785126","0.3779999911785126","0.3779999911785126","0.3070000112056732","0.3070000112056732","0.3070000112056732","0.4099999964237213","0.4099999964237213","0.4099999964237213","0.19599999487400055","0.19599999487400055","0.19599999487400055","0.20600000023841858","0.20600000023841858","0.20600000023841858"
"4","0.32499995827674866","0.32499995827674866","0.32499995827674866","0.2939999997615814","0.2939999997615814","0.2939999997615814","0.11299999803304672","0.11299999803304672","0.11299999803304672","0.2809999883174896","0.2809999883174896","0.2809999883174896","0.2720000147819519","0.2720000147819519","0.2720000147819519","0.41200000047683716","0.41200000047683716","0.41200000047683716","0.3100000023841858","0.3100000023841858","0.3100000023841858","0.42100000381469727","0.42100000381469727","0.42100000381469727","0.20999999344348907","0.20999999344348907","0.20999999344348907","0.11800000071525574","0.11800000071525574","0.11800000071525574"
"5","0.33399999141693115","0.33399999141693115","0.33399999141693115","0.31299999356269836","0.31299999356269836","0.31299999356269836","0.1420000046491623","0.1420000046491623","0.1420000046491623","0.2680000066757202","0.2680000066757202","0.2680000066757202","0.22100001573562622","0.22100001573562622","0.22100001573562622","0.3889999985694885","0.3889999985694885","0.3889999985694885","0.31700003147125244","0.31700003147125244","0.31700003147125244","0.42399999499320984","0.42399999499320984","0.42399999499320984","0.22499997913837433","0.22499997913837433","0.22499997913837433","0.210999995470047","0.210999995470047","0.210999995470047"
"6","0.3330000042915344","0.3330000042915344","0.3330000042915344","0.29600000381469727","0.29600000381469727","0.29600000381469727","0.11100000143051147","0.11100000143051147","0.11100000143051147","0.2930000126361847","0.2930000126361847","0.2930000126361847","0.27900001406669617","0.27900001406669617","0.27900001406669617","0.4090000092983246","0.4090000092983246","0.4090000092983246","0.3050000071525574","0.3050000071525574","0.3050000071525574","0.4230000078678131","0.4230000078678131","0.4230000078678131","0.26499998569488525","0.26499998569488525","0.26499998569488525","0.12800000607967377","0.12800000607967377","0.12800000607967377"
"7","0.34200000762939453","0.34200000762939453","0.34200000762939453","0.3149999976158142","0.3149999976158142","0.3149999976158142","0.1860000044107437","0.1860000044107437","0.1860000044107437","0.26499998569488525","0.26499998569488525","0.26499998569488525","0.24400000274181366","0.24400000274181366","0.24400000274181366","0.39399999380111694","0.39399999380111694","0.39399999380111694","0.31200000643730164","0.31200000643730164","0.31200000643730164","0.4309999942779541","0.4309999942779541","0.4309999942779541","0.25","0.25","0.25","0.2029999941587448","0.2029999941587448","0.2029999941587448"
"8","0.34700000286102295","0.34700000286102295","0.34700000286102295","0.2939999997615814","0.2939999997615814","0.2939999997615814","0.14100000262260437","0.14100000262260437","0.14100000262260437","0.28299999237060547","0.28299999237060547","0.28299999237060547","0.28200000524520874","0.28200000524520874","0.28200000524520874","0.40799999237060547","0.40799999237060547","0.40799999237060547","0.3409999907016754","0.3409999907016754","0.3409999907016754","0.4230000078678131","0.4230000078678131","0.4230000078678131","0.2930000126361847","0.2930000126361847","0.2930000126361847","0.12999999523162842","0.12999999523162842","0.12999999523162842"
"9","0.3400000035762787","0.3400000035762787","0.3400000035762787","0.3160000145435333","0.3160000145435333","0.3160000145435333","0.19699999690055847","0.19699999690055847","0.19699999690055847","0.35099998116493225","0.35099998116493225","0.35099998116493225","0.25200000405311584","0.25200000405311584","0.25200000405311584","0.4059999883174896","0.4059999883174896","0.4059999883174896","0.33799999952316284","0.33799999952316284","0.33799999952316284","0.43299996852874756","0.43299996852874756","0.43299996852874756","0.2709999978542328","0.2709999978542328","0.2709999978542328","0.20499999821186066","0.20499999821186066","0.20499999821186066"
