"Step","GCN_features-16_layers-2_lr-0.0001 - test_accuracy","GCN_features-16_layers-2_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-2_lr-0.001 - test_accuracy","GCN_features-16_layers-2_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-2_lr-0.01 - test_accuracy","GCN_features-16_layers-2_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.01 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.0001 - test_accuracy","GCN_features-16_layers-1_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.001 - test_accuracy","GCN_features-16_layers-1_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.01 - test_accuracy","GCN_features-16_layers-1_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.01 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.0001 - test_accuracy","GCN_features-16_layers-0_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.001 - test_accuracy","GCN_features-16_layers-0_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.01 - test_accuracy","GCN_features-16_layers-0_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.01 - test_accuracy__MAX","GCN_features-8_layers-2_lr-0.0001 - test_accuracy","GCN_features-8_layers-2_lr-0.0001 - test_accuracy__MIN","GCN_features-8_layers-2_lr-0.0001 - test_accuracy__MAX"
"0","0.4129999876022339","0.4129999876022339","0.4129999876022339","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.4129999876022339","0.4129999876022339","0.4129999876022339","0.18000000715255737","0.18000000715255737","0.18000000715255737","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.4129999876022339","0.4129999876022339","0.4129999876022339","0.18000000715255737","0.18000000715255737","0.18000000715255737","0.4129999876022339","0.4129999876022339","0.4129999876022339","0.4129999876022339","0.4129999876022339","0.4129999876022339"
"1","0.4129999876022339","0.4129999876022339","0.4129999876022339","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.4189999997615814","0.4189999997615814","0.4189999997615814","0.18000000715255737","0.18000000715255737","0.18000000715255737","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.4129999876022339","0.4129999876022339","0.4129999876022339","0.18000000715255737","0.18000000715255737","0.18000000715255737","0.4129999876022339","0.4129999876022339","0.4129999876022339","0.414000004529953","0.414000004529953","0.414000004529953"
"2","0.41600000858306885","0.41600000858306885","0.41600000858306885","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.4270000159740448","0.4270000159740448","0.4270000159740448","0.18000000715255737","0.18000000715255737","0.18000000715255737","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.4129999876022339","0.4129999876022339","0.4129999876022339","0.18000000715255737","0.18000000715255737","0.18000000715255737","0.4129999876022339","0.4129999876022339","0.4129999876022339","0.4220000207424164","0.4220000207424164","0.4220000207424164"
"3","0.41600000858306885","0.41600000858306885","0.41600000858306885","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.4270000159740448","0.4270000159740448","0.4270000159740448","0.18000000715255737","0.18000000715255737","0.18000000715255737","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.42100003361701965","0.42100003361701965","0.42100003361701965","0.18000000715255737","0.18000000715255737","0.18000000715255737","0.4129999876022339","0.4129999876022339","0.4129999876022339","0.42500004172325134","0.42500004172325134","0.42500004172325134"
"4","0.4270000159740448","0.4270000159740448","0.4270000159740448","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.44899997115135193","0.44899997115135193","0.44899997115135193","0.1860000044107437","0.1860000044107437","0.1860000044107437","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.42800000309944153","0.42800000309944153","0.42800000309944153","0.18000000715255737","0.18000000715255737","0.18000000715255737","0.414000004529953","0.414000004529953","0.414000004529953","0.44899997115135193","0.44899997115135193","0.44899997115135193"
"5","0.4439999759197235","0.4439999759197235","0.4439999759197235","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.44899997115135193","0.44899997115135193","0.44899997115135193","0.20900000631809235","0.20900000631809235","0.20900000631809235","0.4090000092983246","0.4090000092983246","0.4090000092983246","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.4350000321865082","0.4350000321865082","0.4350000321865082","0.19699999690055847","0.19699999690055847","0.19699999690055847","0.4180000126361847","0.4180000126361847","0.4180000126361847","0.4779999852180481","0.4779999852180481","0.4779999852180481"
"6","0.44600000977516174","0.44600000977516174","0.44600000977516174","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.5019999742507935","0.5019999742507935","0.5019999742507935","0.2199999839067459","0.2199999839067459","0.2199999839067459","0.41200000047683716","0.41200000047683716","0.41200000047683716","0.4090000092983246","0.4090000092983246","0.4090000092983246","0.4439999759197235","0.4439999759197235","0.4439999759197235","0.31299999356269836","0.31299999356269836","0.31299999356269836","0.42100003361701965","0.42100003361701965","0.42100003361701965","0.4909999966621399","0.4909999966621399","0.4909999966621399"
"7","0.5090000033378601","0.5090000033378601","0.5090000033378601","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.5019999742507935","0.5019999742507935","0.5019999742507935","0.22899998724460602","0.22899998724460602","0.22899998724460602","0.4189999997615814","0.4189999997615814","0.4189999997615814","0.4099999964237213","0.4099999964237213","0.4099999964237213","0.4529999792575836","0.4529999792575836","0.4529999792575836","0.41600000858306885","0.41600000858306885","0.41600000858306885","0.42500004172325134","0.42500004172325134","0.42500004172325134","0.5109999775886536","0.5109999775886536","0.5109999775886536"
"8","0.5120000243186951","0.5120000243186951","0.5120000243186951","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.5099999904632568","0.5099999904632568","0.5099999904632568","0.23000000417232513","0.23000000417232513","0.23000000417232513","0.4270000159740448","0.4270000159740448","0.4270000159740448","0.41999998688697815","0.41999998688697815","0.41999998688697815","0.4650000035762787","0.4650000035762787","0.4650000035762787","0.44499996304512024","0.44499996304512024","0.44499996304512024","0.42600002884864807","0.42600002884864807","0.42600002884864807","0.5210000276565552","0.5210000276565552","0.5210000276565552"
"9","0.5009999871253967","0.5009999871253967","0.5009999871253967","0.40700000524520874","0.40700000524520874","0.40700000524520874","0.5220000147819519","0.5220000147819519","0.5220000147819519","0.23800000548362732","0.23800000548362732","0.23800000548362732","0.4320000112056732","0.4320000112056732","0.4320000112056732","0.42500004172325134","0.42500004172325134","0.42500004172325134","0.47699999809265137","0.47699999809265137","0.47699999809265137","0.503000020980835","0.503000020980835","0.503000020980835","0.4350000321865082","0.4350000321865082","0.4350000321865082","0.5649999976158142","0.5649999976158142","0.5649999976158142"
