"Step","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdagrad - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdagrad - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdagrad - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedOpt - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedOpt - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedOpt - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdam - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdam - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAdam - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedYogi - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedYogi - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedYogi - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedProx - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedProx - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedProx - test_accuracy__MAX","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MIN","GAT-num_clients_10-percentage_overlap_100-aggregation_strategy_FedAvg - test_accuracy__MAX"
"0","0.2809999883174896","0.2809999883174896","0.2809999883174896","0.4350000023841858","0.4350000023841858","0.4350000023841858","0.3100000023841858","0.3100000023841858","0.3100000023841858","0.23999999463558197","0.23999999463558197","0.23999999463558197","0.3879999816417694","0.3879999816417694","0.3879999816417694","0.41100001335144043","0.41100001335144043","0.41100001335144043"
"1","0.574999988079071","0.574999988079071","0.574999988079071","0.5920000076293945","0.5920000076293945","0.5920000076293945","0.4569999575614929","0.4569999575614929","0.4569999575614929","0.296999990940094","0.296999990940094","0.296999990940094","0.546999990940094","0.546999990940094","0.546999990940094","0.5130000114440918","0.5130000114440918","0.5130000114440918"
"2","0.4620000123977661","0.4620000123977661","0.4620000123977661","0.6159999966621399","0.6159999966621399","0.6159999966621399","0.5849999785423279","0.5849999785423279","0.5849999785423279","0.3930000066757202","0.3930000066757202","0.3930000066757202","0.5479999780654907","0.5479999780654907","0.5479999780654907","0.5580000281333923","0.5580000281333923","0.5580000281333923"
"3","0.5830000042915344","0.5830000042915344","0.5830000042915344","0.6110000014305115","0.6110000014305115","0.6110000014305115","0.6019999980926514","0.6019999980926514","0.6019999980926514","0.44200000166893005","0.44200000166893005","0.44200000166893005","0.5609999895095825","0.5609999895095825","0.5609999895095825","0.574999988079071","0.574999988079071","0.574999988079071"
"4","0.5519999861717224","0.5519999861717224","0.5519999861717224","0.6269999742507935","0.6269999742507935","0.6269999742507935","0.6119999885559082","0.6119999885559082","0.6119999885559082","0.4819999933242798","0.4819999933242798","0.4819999933242798","0.5799999833106995","0.5799999833106995","0.5799999833106995","0.5849999785423279","0.5849999785423279","0.5849999785423279"
"5","0.5879999995231628","0.5879999995231628","0.5879999995231628","0.640999972820282","0.640999972820282","0.640999972820282","0.6060000061988831","0.6060000061988831","0.6060000061988831","0.5299999713897705","0.5299999713897705","0.5299999713897705","0.5920000076293945","0.5920000076293945","0.5920000076293945","0.5839999914169312","0.5839999914169312","0.5839999914169312"
"6","0.5879999995231628","0.5879999995231628","0.5879999995231628","0.6460000276565552","0.6460000276565552","0.6460000276565552","0.6190000176429749","0.6190000176429749","0.6190000176429749","0.5669999718666077","0.5669999718666077","0.5669999718666077","0.6140000224113464","0.6140000224113464","0.6140000224113464","0.5920000076293945","0.5920000076293945","0.5920000076293945"
"7","0.6050000190734863","0.6050000190734863","0.6050000190734863","0.6570000052452087","0.6570000052452087","0.6570000052452087","0.6439999938011169","0.6439999938011169","0.6439999938011169","0.5960000157356262","0.5960000157356262","0.5960000157356262","0.6169999837875366","0.6169999837875366","0.6169999837875366","0.5839999914169312","0.5839999914169312","0.5839999914169312"
"8","0.6019999980926514","0.6019999980926514","0.6019999980926514","0.6579999923706055","0.6579999923706055","0.6579999923706055","0.6499999761581421","0.6499999761581421","0.6499999761581421","0.609000027179718","0.609000027179718","0.609000027179718","0.6150000095367432","0.6150000095367432","0.6150000095367432","0.5770000219345093","0.5770000219345093","0.5770000219345093"
"9","0.6079999804496765","0.6079999804496765","0.6079999804496765","0.6610000133514404","0.6610000133514404","0.6610000133514404","0.6290000081062317","0.6290000081062317","0.6290000081062317","0.621999979019165","0.621999979019165","0.621999979019165","0.6190000176429749","0.6190000176429749","0.6190000176429749","0.5839999914169312","0.5839999914169312","0.5839999914169312"
